Gene symbol	Ensembl ID	Gene tier	Gene category	Number of panels that carry the gene (n=10)	Mode of inheritance	ClinGen annotation	OMIM annotation	Gene function
SLC22A5	ENSG00000197375	Tier 1: Secondary	Channel	4	AR	Systemic primary carnitine deficiency disease (Definitive, AR); short QT syndrome (Disputed, AR)	Carnitine deficiency, systemic primary (AR)	The encoded protein is a plasma integral membrane protein which functions both as an organic cation transporter and as a sodium-dependent high affinity carnitine transporter. The encoded protein is involved in the active cellular uptake of carnitine.
SLC25A4	ENSG00000151729	Tier 1: Secondary	Channel	2	AD, AR	Mitochondrial DNA depletion syndrome 12 (Definitive, AR); Leigh syndrome (Limited, AD)	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) (AD); Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type) (AR)	The product of this gene functions as a gated pore that translocates ADP from the cytoplasm into the mitochondrial matrix and ATP from the mitochondrial matrix into the cytoplasm.
SOS1	ENSG00000115904	Tier 1: Secondary	RAS	7	AD	Noonan syndrome (Definitive, AD); cardiofaciocutaneous syndrome (Disputed, AD); Costello syndrome (Disputed, AD)	Noonan syndrome 4 (AD)	The product of this gene may regulate RAS proteins by facilitating the exchange of GTP for GDP. 
TCAP 	ENSG00000173991	Tier 2: Primary	Z disc	10	AD, AR	DCM (Limited, AD); HCM (Limited, AD)	Cardiomyopathy, hypertrophic, 25 (AD); Muscular dystrophy, limb-girdle, autosomal recessive 7 (AR)	This gene encodes a protein found in striated and cardiac muscle that binds to the titin Z1-Z2 domains and is a substrate of titin kinase, interactions thought to be critical to sarcomere assembly.
TGFB3	ENSG00000119699	Tier 2: Primary	Signaling/ACM	6	AD	ACM (Limited, AD); familial thoracic aortic aneurysm and aortic dissection (Limited, AD)	Arrhythmogenic right ventricular dysplasia 1 (AD); Loeys-Dietz syndrome 5 (AD)	This protein is involved in embryogenesis and cell differentiation, and may play a role in wound healing.
TMEM43 	ENSG00000170876	Tier 1: Primary	Signaling/ACM	10	AD	Arrythmogenic right ventricular dysplasia 5 (Definitive, AD)	Arrhythmogenic right ventricular dysplasia 5 (AD); Emery-Dreifuss muscular dystrophy 7, AD (AD)	This gene contains a response element for PPAR gamma (an adipogenic transcription factor), which may explain the fibrofatty replacement of the myocardium, a characteristic pathological finding in ARVC.
TMEM70	ENSG00000175606	Tier 1: Secondary	Signaling	3	AR	N/A	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2 (AR)	The encoded protein may play a role in biogenesis of mitochondrial ATP synthase.
TNNC1 	ENSG00000114854	Tier 1: Primary	Cytoskeletal	10	AD	DCM (Definitive, AD); HCM (Moderate, AD); ACM (No known relationship, AD)	Cardiomyopathy, dilated, 1Z; Cardiomyopathy, hypertrophic, 13 (AD)	Troponin is a central regulatory protein of striated muscle contraction, and together with tropomyosin, is located on the actin filament. Troponin consists of 3 subunits: TnI, which is the inhibitor of actomyosin ATPase; TnT, which contains the binding site for tropomyosin; and TnC, the protein encoded by this gene. The binding of calcium to TnC abolishes the inhibitory action of TnI, thus allowing the interaction of actin with myosin, the hydrolysis of ATP, and the generation of tension. Mutations in this gene are associated with cardiomyopathy dilated type 1Z
TNNI3 	ENSG00000129991	Tier 1: Primary	Sarcomere	10	AD	DCM (Moderate, AD); HCM (Definitive, AD); ACM (No known relationship, AD)	?Cardiomyopathy, dilated, 2A (AR); Cardiomyopathy, dilated, 1FF; Cardiomyopathy, familial restrictive, 1 (AD); Cardiomyopathy, hypertrophic, 7 (AD)	This gene encodes the TnI-cardiac protein and is exclusively expressed in cardiac muscle tissues. Mutations in this gene cause familial hypertrophic cardiomyopathy type 7 (CMH7) and familial restrictive cardiomyopathy (RCM).
TNNT2	ENSG00000118194	Tier 1: Primary	Sarcomere	10	AD	DCM (Definitive, AD); HCM (Definitive, AD); ACM (No known relationship, AD)	Cardiomyopathy, dilated, 1D (AD); Cardiomyopathy, familial restrictive, 3 (AD); Cardiomyopathy, hypertrophic, 2 (AD); Left ventricular noncompaction 6 (AD)	The protein encoded by this gene is the tropomyosin-binding subunit of the troponin complex, which is located on the thin filament of striated muscles and regulates muscle contraction in response to alterations in intracellular calcium ion concentration. Mutations in this gene have been associated with familial hypertrophic cardiomyopathy as well as with dilated cardiomyopathy.
TPM1 	ENSG00000140416	Tier 1: Primary	Sarcomere	10	AD	DCM (Moderate, AD); HCM (Definitive, AD); ACM (No known relationship, AD)	Cardiomyopathy, dilated, 1Y (AD); Cardiomyopathy, hypertrophic, 3 (AD); Left ventricular noncompaction 9 (AD)	The encoded protein is one type of alpha helical chain that forms the predominant tropomyosin of striated muscle, where it also functions in association with the troponin complex to regulate the calcium-dependent interaction of actin and myosin during muscle contraction.
TTN 	ENSG00000155657	Tier 1: Primary	Sarcomere	10	AD, AR	DCM (Definitive, AD); HCM (Limited, AD); ACM (Limited, AD)	Cardiomyopathy, dilated, 1G; Cardiomyopathy, familial hypertrophic, 9 (AD); Muscular dystrophy, limb-girdle, autosomal recessive 10 (AR); Myopathy, myofibrillar, 9, with early respiratory failure (AD); Salih myopathy (AR); Tibial muscular dystrophy, tardive (AD)	This gene encodes a large abundant protein of striated muscle. 
TTR 	ENSG00000118271	Tier 1: Secondary	Signaling	10	AD	Heriditary ATTR amyloidosis (Definitive, AD)	Dystransthyretinemic hyperthyroxinemia (AD); Amyloidosis, hereditary, transthyretin-related (AD); Carpal tunnel syndrome, familial (AD)	The encoded protein, transthyretin, is a homo-tetrameric carrier protein, which transports thyroid hormones in the plasma and cerebrospinal fluid. It is also involved in the transport of retinol (vitamin A) in the plasma by associating with retinol-binding protein. The protein may also be involved in other intracellular processes including proteolysis, nerve regeneration, autophagy and glucose homeostasis.
VCL	ENSG00000035403	Tier 1: Primary	Z disc	10	AD	DCM (Moderate, AD); HCM (Limited, AD)	Cardiomyopathy, dilated, 1W; Cardiomyopathy, hypertrophic, 15 (AD)	Vinculin is a cytoskeletal protein associated with cell-cell and cell-matrix junctions, where it is thought to function as one of several interacting proteins involved in anchoring F-actin to the membrane. Defects in VCL are the cause of cardiomyopathy dilated type 1W.
								
CMP, Cardiomyopathy; HCM, Hypertrophic cardiomyopathy; DCM, dilated cardiomyopathy; LVNC, left ventricular noncompaction cardiomyopathy; RCM, Restrictive cardiomyopathy; ACM, Arrhythmogenic ventricular cardiomyopathy; AD, autosomal dominant; AR, autosomal recessive; DD, digenic dominant; XL, X-linked; XLR, X-linked recessive.								
